є;»м€ метода;ѕараметры;¬озвращает; то вызывает; акие методы вызывает; омментарий р€дом с методом
1;CanOpenPosition;int levelIndex;bool;CheckEntryConditions (5);Ч;ѕроверка возможности открыти€ позиции
2;CalculatePD_LongOpen_ShortClose;Ч;double;OnTimer (24);GetMarketDepthPrices (7);–асчет PD дл€ открыти€ длинной и закрыти€ короткой мегапозиции
3;CalculatePD_ShortOpen_LongClose;Ч;double;OnTimer (24);GetMarketDepthPrices (7);–асчет PD дл€ открыти€ короткой и закрыти€ длинной мегапозиции
4;CheckBookCondition;bool isLongMega;bool;CheckEntryConditions (5);Ч;ѕроверка услови€ полноты стаканов
5;CheckEntryConditions;double currentPD_ShortOpen_LongClose, double currentPD_LongOpen_ShortClose;void;OnTimer (24);CanOpenPosition (1), CheckBookCondition (4), GetLogicalLevel (10), OpenMegaPosition (18);ѕроверка условий входа (ћќƒ»‘»÷»–ќ¬јЌЌјя - нахождение в зоне)
6;CheckExitConditions;double currentPD_ShortOpen_LongClose, double currentPD_LongOpen_ShortClose;void;OnTimer (24);CheckBookCondition (4), GetLogicalLevel (10), CloseMegaPosition (15), CheckOpenPositionsForLevel (34);ћодифицированна€ функци€ проверки условий выхода
7;GetMarketDepthPrices;string symbol, double &depth_bid, double &depth_ask;bool;CalculatePD_LongOpen_ShortClose (2), CalculatePD_ShortOpen_LongClose (3);Ч;Ч
8;GetMaxPositionsForLevel;int levelIndex;int;;Ч;ѕолучение максимального количества позиций дл€ уровн€
9;GetTimeLocal;void;datetime;OnInit (20);Ч;—лужебна€ функци€ получени€ локального времени
10;GetLogicalLevel;int arrayIndex;int;CheckEntryConditions (5), CheckExitConditions (6), ExecuteCloseCommand (12), ExecuteOpenCommand (13), CloseMegaPosition (15), CloseAllPositionsOnLevel (16), OpenMegaPosition (18), OnInit (20), ProcessCommandsByPriority (27);Ч;‘ункци€ получени€ логического номера уровн€ из индекса массива
11;GetVolumeCoefficient;int levelIndex;double;OpenMegaPosition (18);Ч;ѕолучение корректирующего коэффициента объема
12;ExecuteCloseCommand;int level;void;ProcessCommandsByPriority (27);GetLogicalLevel (10);¬ыполнение команды CLOSE
13;ExecuteOpenCommand;double volume, double takeProfit, double stopLoss, string direction, int level;void;ProcessCommandsByPriority (27);GetLogicalLevel (10);¬ыполнение команды OPEN (»—ѕ–ј¬Ћ≈ЌЌјя)
14;FileHasChanged;string filename;bool;ProcessCommands (26);Ч;ѕроверка изменени€ файла (оптимизаци€)
15;CloseMegaPosition;int levelIndex, double currentPD;void;CheckExitConditions (6);GetLogicalLevel (10), WriteCommand (33), CloseAllPositionsOnLevel (37);«акрытие ¬—≈’ позиций мегапозиции уровн€ (»—ѕ–ј¬Ћ≈ЌЌјя)
